ali535, 1, TABU SEARCH, 223436.000000, 3599.506243
att532, 1, TABU SEARCH, 30055.000000, 3599.525810
d1291, 1, TABU SEARCH, 54830.000000, 3599.521241
d1655, 1, TABU SEARCH, 65653.000000, 3599.566613
d2103, 1, TABU SEARCH, 86301.000000, 3599.630394
d493, 1, TABU SEARCH, 37301.000000, 3599.515271
d657, 1, TABU SEARCH, 52295.000000, 3599.503974
fl1400, 1, TABU SEARCH, 21244.000000, 3599.542045
fl1577, 1, TABU SEARCH, 22971.000000, 3599.538075
fl3795, 1, TABU SEARCH, 31144.000000, 3599.764230
fl417, 1, TABU SEARCH, 12640.000000, 3599.510246
fnl4461, 1, TABU SEARCH, 210071.000000, 3599.652307
gr431, 1, TABU SEARCH, 178142.000000, 3599.546185
gr666, 1, TABU SEARCH, 328761.000000, 3599.600904
nrw1379, 1, TABU SEARCH, 60207.000000, 3599.513265
p654, 1, TABU SEARCH, 36732.000000, 3599.512014
pcb1173, 1, TABU SEARCH, 61558.000000, 3599.542265
pcb3038, 1, TABU SEARCH, 149063.000000, 3599.944603
pcb442, 1, TABU SEARCH, 53109.000000, 3599.508457
pr1002, 1, TABU SEARCH, 278422.000000, 3599.510910
pr2392, 1, TABU SEARCH, 410054.000000, 3599.650737
pr439, 1, TABU SEARCH, 115589.000000, 3599.503601
rand10_4380, 1, TABU SEARCH, 417081.000000, 3599.718594
rand11_935, 1, TABU SEARCH, 52311.000000, 3599.532756
rand12_4571, 1, TABU SEARCH, 401956.000000, 3600.680014
rand13_2273, 1, TABU SEARCH, 354206.000000, 3599.886689
rand14_4568, 1, TABU SEARCH, 538201.000000, 3600.714480
rand1_4723, 1, TABU SEARCH, 86401.000000, 3600.439407
rand15_1164, 1, TABU SEARCH, 49588.000000, 3599.592160
rand16_4398, 1, TABU SEARCH, 86754.000000, 3600.438472
rand17_3554, 1, TABU SEARCH, 54157.000000, 3600.147882
rand18_4261, 1, TABU SEARCH, 80495.000000, 3599.866684
rand19_1428, 1, TABU SEARCH, 205465.000000, 3599.637387
rand20_1015, 1, TABU SEARCH, 149080.000000, 3599.560293
rand21_659, 1, TABU SEARCH, 160018.000000, 3599.515621
rand22_400, 1, TABU SEARCH, 158444.000000, 3599.510879
rand23_1878, 1, TABU SEARCH, 102208.000000, 3599.586167
rand2_3608, 1, TABU SEARCH, 194126.000000, 3599.847881
rand24_4476, 1, TABU SEARCH, 234404.000000, 3599.574897
rand25_4615, 1, TABU SEARCH, 552199.000000, 3600.625056
rand26_2676, 1, TABU SEARCH, 228153.000000, 3599.917945
rand27_3851, 1, TABU SEARCH, 476793.000000, 3600.158683
rand28_806, 1, TABU SEARCH, 112010.000000, 3599.517364
rand29_3862, 1, TABU SEARCH, 323534.000000, 3600.263967
rand30_1330, 1, TABU SEARCH, 231288.000000, 3599.540555
rand31_4848, 1, TABU SEARCH, 316571.000000, 3601.149099
